id,nombre
id12016,Artana
id31039,Artazu
id48023,Artea
id15005,Arteixo
id35005,Artenara
id25033,Artesa de Lleida
id25034,Artesa de Segre
id50035,Artieda
id48008,Artzentales
id01004,Artziniega
id07006,Artà
id08010,Artés
id35006,Arucas
id15006,Arzúa
id50032,Arándiga
id22035,Arén
id05016,Arévalo
id42027,Arévalo de la Sierra
id43019,Ascó
id25036,Aspa
id49016,Aspariegos
id01009,Asparrena
id03019,Aspe
id20014,Asteasu
id20903,Astigarraga
id39008,"Astillero, El"
id24008,Astorga
id34017,Astudillo
id49017,Asturianos
id50036,Asín
id29021,Atajate
id06013,Atalaya
id16026,Atalaya del Cañavate
id37037,"Atalaya, La"
id19043,Atanzón
id09029,Atapuerca
id47011,Ataquines
id18022,Atarfe
id20015,Ataun
id28016,"Atazar, El"
id50037,Atea
id50038,Ateca
id31040,Atez/Atetz
id19044,Atienza
id48091,Atxondo
id46003,Atzeneta d'Albaida
id12001,Atzeneta del Maestrat
id03001,"Atzúbia, l'"
id48070,Aulesti
id31058,Auritz/Burguete
id26020,Ausejo
id42028,Ausejo de la Sierra
id09030,"Ausines, Los"
id34018,Autilla del Pino
id34019,Autillo de Campos
id26021,Autol
id19045,Auñón
id05017,Aveinte
id05018,Avellaneda
id25037,"Avellanes i Santa Linya, Les"
id09032,Avellanosa de Muñó
id33004,Avilés
id17012,Avinyonet de Puigventós
id08013,Avinyonet del Penedès
id08012,Avinyó
id08011,Avià
id32004,Avión
id01010,Ayala/Aiara
id21010,Ayamonte
id31041,Ayegui/Aiegi
id22039,Ayerbe
id40024,Ayllón
id02011,Ayna
id46044,Ayora
id49018,Ayoó de Vidriales
id34020,Ayuela
id12017,Ayódar
id31042,Azagra
id44031,Azaila
id22040,Azanuy-Alins
id22041,Azara
id20017,Azkoitia
id22042,Azlor
id41012,Aznalcázar
id41013,Aznalcóllar
id26022,Azofra
id20018,Azpeitia
id06014,Azuaga
id50039,Azuara
id31043,Azuelo
id19046,Azuqueca de Henares
id45017,Azután
id12018,Azuébar
id12002,Aín
id22907,Aínsa-Sobrarbe
id01049,Añana
id40018,Añe
id14006,Añora
id31018,Añorbe
id45014,Añover de Tajo
id37030,Añover de Tormes
id50030,Añón de Moncayo
id37038,Babilafuente
id04019,Bacares
id06015,Badajoz
id08015,Badalona
id26023,Badarán
id08904,Badia del Vallès
id41014,Badolatosa
id50040,Badules
id14007,Baena
id23009,Baeza
id08016,Bagà
id50041,Bagüés
id47012,Bahabón
id09033,Bahabón de Esgueva
id19047,Baides
id22044,Bailo
id23010,Bailén
id36003,Baiona
id25039,Baix Pallars
id31044,Bakaiku
id48012,Bakio
id25040,Balaguer
id02012,Balazote
id09034,"Balbases, Los"
id24009,Balboa
id50042,Balconchán
id22045,Baldellou
id27004,Baleira
id08017,Balenyà
id20904,Baliarrain
id02014,"Ballestero, El"
id13022,Ballesteros de Calatrava
id22046,Ballobar
id48090,Balmaseda
id03020,Balones
id02013,Balsa de Ves
id08018,Balsareny
id34022,Baltanás
id32005,Baltar
id22047,Banastás
id32006,Bande
id07007,Banyalbufar
id03021,Banyeres de Mariola
id43020,Banyeres del Penedès
id17015,Banyoles
id34024,Baquerín de Campos
id16027,Barajas de Melo
id48013,Barakaldo
id27901,Baralla
id42029,Baraona
id31901,Barañain
id37040,Barbadillo
id09037,Barbadillo de Herreros
id09038,Barbadillo del Mercado
id09039,Barbadillo del Pez
id32008,Barbadás
id37041,Barbalos
id31046,Barbarin
id22048,Barbastro
id11007,Barbate
id25041,Barbens
id43021,Barberà de la Conca
id08252,Barberà del Vallès
id40025,Barbolla
id22049,Barbués
id22050,Barbuñales
id42030,Barca
id06016,Barcarrota
id08019,Barcelona
id37042,Barceo
id16029,Barchín del Hoyo
id47013,Barcial de la Loma
id49019,Barcial del Barco
id45018,Barcience
id32009,"Barco de Valdeorras, O"
id05021,"Barco de Ávila, El"
id42031,Barcones
id50044,Bardallur
id39011,Bareyo
id45019,Bargas
id31047,Bargota
id31048,Barillas
id24011,Barjas
id38007,Barlovento
id25042,"Baronia de Rialb, La"
id12020,Barracas
id44035,Barrachina
id05022,"Barraco, El"
id10025,Barrado
id02015,Barrax
id27005,Barreiros
id48014,Barrika
id09041,Barrio de Muñó
id19050,Barriopedro
id09043,"Barrios de Bureba, Los"
id09044,Barrios de Colina
id24012,"Barrios de Luna, Los"
id11008,"Barrios, Los"
id36002,Barro
id05023,Barromán
id37044,Barruecopardo
id34027,Barruelo de Santullán
id47014,Barruelo del Valle
id01013,Barrundia
id46046,Barx
id46045,Barxeta
id31045,Barásoain
id31049,Basaburua
id40026,Basardilla
id48015,Basauri
id09045,Basconcillos del Tozo
id09046,Bascuñana
id16030,Bascuñana de San Pedro
id25044,Bassella
id37045,"Bastida, La"
id43022,Batea
id06017,Baterno
id28017,Batres
id25045,Bausen
id04021,Bayarque
id42032,Bayubas de Abajo
id42033,Bayubas de Arriba
id04020,Bayárcal
id18023,Baza
id31050,Baztan
id22043,Baélls
id15007,"Baña, A"
id26024,Bañares
id24010,"Bañeza, La"
id37039,Bañobárez
id01011,Baños de Ebro/Mañueta
id32007,Baños de Molgas
id10024,Baños de Montemayor
id26025,Baños de Rioja
id26026,Baños de Río Tobía
id19048,Baños de Tajo
id09035,Baños de Valdearados
id23011,Baños de la Encina
id19049,Bañuelos
id09036,Bañuelos de Bureba
id44034,Bañón
id44036,Bea
id32010,Beade
id16031,Beamud
id32011,Beariz
id21011,Beas
id18024,Beas de Granada
id18025,Beas de Guadix
id23012,Beas de Segura
id20019,Beasain
id05024,Becedas
id05025,Becedillas
id44037,Beceite
id27006,Becerreá
id34029,Becerril de Campos
id28018,Becerril de la Sierra
id47015,Becilla de Valderaduey
id48092,Bedia
id23902,Bedmar y Garcíez
id27007,Begonte
id08020,Begues
id17013,Begur
id23014,Begíjar
id31137,Beintza-Labaien
id31051,Beire
id04023,Beires
id20020,Beizama
id12022,Bejís
id14008,Belalcázar
id31052,Belascoáin
id20021,Belauntza
id09047,Belbimbre
id50045,Belchite
id37047,Beleña
id25046,Belianes
id16032,Belinchón
id25048,Bell-lloc d'Urgell
id25170,Bellaguarda
id17018,Bellcaire d'Empordà
id25047,Bellcaire d'Urgell
id25049,Bellmunt d'Urgell
id43023,Bellmunt del Priorat
id44039,Bello
id08021,Bellprat
id25050,Bellpuig
id46048,Bellreguard
id43024,Bellvei
id25051,Bellver de Cerdanya
id25052,Bellvís
id46049,Bellús
id14009,Belmez
id16033,Belmonte
id34031,Belmonte de Campos
id50046,Belmonte de Gracián
id33005,Belmonte de Miranda
id44038,Belmonte de San José
id28019,Belmonte de Tajo
id16034,Belmontejo
id09048,Belorado
id22052,Belver de Cinca
id49020,Belver de los Montes
id10026,Belvís de Monroy
id45020,Belvís de la Jara
id24014,Bembibre
id22053,Benabarre
id41015,Benacazón
id29022,Benadalid
id47016,Benafarces
id12024,Benafer
id12025,Benafigos
id46051,Benaguasil
id46050,Benagéber
id04024,Benahadux
id29023,Benahavís
id29024,Benalauría
id29025,Benalmádena
id11901,Benalup-Casas Viejas
id18027,Benalúa
id18028,Benalúa de las Villas
id29026,Benamargosa
id18029,Benamaurel
id14010,Benamejí
id29027,Benamocarra
id11009,Benaocaz
id29028,Benaoján
id29029,Benarrabá
id12026,Benasal
id03022,Benasau
id22054,Benasque
id23016,Benatae
id25053,Benavent de Segrià
id49021,Benavente
id24015,Benavides
id46052,Benavites
id49022,Benegiles
id03023,Beneixama
id46053,Beneixida
id03024,Benejúzar
id46054,Benetússer
id03025,Benferri
id03026,Beniarbeig
id03027,Beniardá
id46055,Beniarjó
